Description,Country,Observations,Label,Colour,Mean
Share of individuals using the Internet to interact with public authorities,Australia,50.0,Positive,#fc8b9b,60.2
Share of individuals using the Internet to interact with public authorities,Austria,72.0,Negative,#F6BC65,
Share of individuals using the Internet to interact with public authorities,Belgium,60.9,Negative,#F6BC65,
Share of individuals using the Internet to interact with public authorities,Brazil,34.2,Positive,#fc8b9b,
Share of individuals using the Internet to interact with public authorities,Canada,69.5,Negative,#F6BC65,
Share of individuals using the Internet to interact with public authorities,Chile,28.8,Positive,#fc8b9b,
Share of individuals using the Internet to interact with public authorities,Costa Rica,30.1,Positive,#fc8b9b,
Share of individuals using the Internet to interact with public authorities,Czech Republic,56.7,Positive,#fc8b9b,
Share of individuals using the Internet to interact with public authorities,Denmark,90.7,Negative,#F6BC65,
Share of individuals using the Internet to interact with public authorities,Estonia,80.3,Negative,#F6BC65,
Share of individuals using the Internet to interact with public authorities,European Union (28 countries),54.6,Positive,#fc8b9b,
Share of individuals using the Internet to interact with public authorities,Finland,88.2,Negative,#F6BC65,
Share of individuals using the Internet to interact with public authorities,France,74.7,Negative,#F6BC65,
Share of individuals using the Internet to interact with public authorities,Germany,65.9,Negative,#F6BC65,
Share of individuals using the Internet to interact with public authorities,Greece,52.9,Positive,#fc8b9b,
Share of individuals using the Internet to interact with public authorities,Hungary,60.3,Negative,#F6BC65,
Share of individuals using the Internet to interact with public authorities,Ireland,61.6,Negative,#F6BC65,
Share of individuals using the Internet to interact with public authorities,Italy,29.4,Positive,#fc8b9b,
Share of individuals using the Internet to interact with public authorities,Latvia,76.3,Negative,#F6BC65,
Share of individuals using the Internet to interact with public authorities,Lithuania,57.7,Positive,#fc8b9b,
Share of individuals using the Internet to interact with public authorities,Luxembourg,62.9,Negative,#F6BC65,
Share of individuals using the Internet to interact with public authorities,Mexico,30.2,Positive,#fc8b9b,
Share of individuals using the Internet to interact with public authorities,Netherlands,86.1,Negative,#F6BC65,
Share of individuals using the Internet to interact with public authorities,New Zealand,32.4,Positive,#fc8b9b,
Share of individuals using the Internet to interact with public authorities,Norway,91.9,Negative,#F6BC65,
Share of individuals using the Internet to interact with public authorities,Poland,41.9,Positive,#fc8b9b,
Share of individuals using the Internet to interact with public authorities,Portugal,45.2,Positive,#fc8b9b,
Share of individuals using the Internet to interact with public authorities,Slovak Republic,61.8,Negative,#F6BC65,
Share of individuals using the Internet to interact with public authorities,Slovenia,67.2,Negative,#F6BC65,
Share of individuals using the Internet to interact with public authorities,Spain,62.9,Negative,#F6BC65,
Share of individuals using the Internet to interact with public authorities,Sweden,85.7,Negative,#F6BC65,
Share of individuals using the Internet to interact with public authorities,Switzerland,74.8,Negative,#F6BC65,
Share of individuals using the Internet to interact with public authorities,Turkey,51.5,Positive,#fc8b9b,
Share of individuals using the Internet to interact with public authorities,United Kingdom,57.3,Positive,#fc8b9b,
Share of individuals using the Internet to interact with public authorities,Aruba,37.9,Aruba,#81d7d3,
