Description,Country,Observations,Label,Colour,Mean
Percentage of individuals not buying online due to payment security concerns,Austria,31.2,Negative,#F6BC65,27.2
Percentage of individuals not buying online due to payment security concerns,Belgium,18.1,Positive,#fc8b9b,
Percentage of individuals not buying online due to payment security concerns,Czech Republic,9.8,Positive,#fc8b9b,
Percentage of individuals not buying online due to payment security concerns,Denmark,18.8,Positive,#fc8b9b,
Percentage of individuals not buying online due to payment security concerns,Estonia,4.3,Positive,#fc8b9b,
Percentage of individuals not buying online due to payment security concerns,European Union (28 countries),24.3,Positive,#fc8b9b,
Percentage of individuals not buying online due to payment security concerns,Finland,64.4,Negative,#F6BC65,
Percentage of individuals not buying online due to payment security concerns,France,40.8,Negative,#F6BC65,
Percentage of individuals not buying online due to payment security concerns,Germany,25.1,Positive,#fc8b9b,
Percentage of individuals not buying online due to payment security concerns,Greece,23.2,Positive,#fc8b9b,
Percentage of individuals not buying online due to payment security concerns,Hungary,42.3,Negative,#F6BC65,
Percentage of individuals not buying online due to payment security concerns,Iceland,25.9,Positive,#fc8b9b,
Percentage of individuals not buying online due to payment security concerns,Ireland,16.8,Positive,#fc8b9b,
Percentage of individuals not buying online due to payment security concerns,Italy,8.2,Positive,#fc8b9b,
Percentage of individuals not buying online due to payment security concerns,Latvia,11.3,Positive,#fc8b9b,
Percentage of individuals not buying online due to payment security concerns,Lithuania,13.8,Positive,#fc8b9b,
Percentage of individuals not buying online due to payment security concerns,Luxembourg,12.4,Positive,#fc8b9b,
Percentage of individuals not buying online due to payment security concerns,Netherlands,29.8,Negative,#F6BC65,
Percentage of individuals not buying online due to payment security concerns,Norway,35.5,Negative,#F6BC65,
Percentage of individuals not buying online due to payment security concerns,Poland,6.0,Positive,#fc8b9b,
Percentage of individuals not buying online due to payment security concerns,Portugal,60.9,Negative,#F6BC65,
Percentage of individuals not buying online due to payment security concerns,Slovak Republic,18.3,Positive,#fc8b9b,
Percentage of individuals not buying online due to payment security concerns,Slovenia,18.4,Positive,#fc8b9b,
Percentage of individuals not buying online due to payment security concerns,Spain,48.2,Negative,#F6BC65,
Percentage of individuals not buying online due to payment security concerns,Sweden,39.9,Negative,#F6BC65,
Percentage of individuals not buying online due to payment security concerns,Switzerland,54.8,Negative,#F6BC65,
Percentage of individuals not buying online due to payment security concerns,Turkey,45.8,Negative,#F6BC65,
Percentage of individuals not buying online due to payment security concerns,United Kingdom,36.3,Negative,#F6BC65,
Percentage of individuals not buying online due to payment security concerns,Aruba,4.4,Aruba,#81d7d3,
