Description,Country,Observations,Label,
Share of businesses making e-commerce sales that sell across borders,Norway,23.02,Negative,#F6BC65
Share of businesses making e-commerce sales that sell across borders,Turkey,28.22,Negative,#F6BC65
Share of businesses making e-commerce sales that sell across borders,Aruba,28.40,Aruba,#81d7d3
Share of businesses making e-commerce sales that sell across borders,Finland,32.19,Negative,#F6BC65
Share of businesses making e-commerce sales that sell across borders,Denmark,33.54,Negative,#F6BC65
Share of businesses making e-commerce sales that sell across borders,United Kingdom,33.68,Negative,#F6BC65
Share of businesses making e-commerce sales that sell across borders,Sweden,34.21,Negative,#F6BC65
Share of businesses making e-commerce sales that sell across borders,France,36.54,Negative,#F6BC65
Share of businesses making e-commerce sales that sell across borders,Greece,37.70,Negative,#F6BC65
Share of businesses making e-commerce sales that sell across borders,Spain,37.86,Negative,#F6BC65
Share of businesses making e-commerce sales that sell across borders,Poland,38.30,Negative,#F6BC65
Share of businesses making e-commerce sales that sell across borders,Hungary,38.70,Negative,#F6BC65
Share of businesses making e-commerce sales that sell across borders,Iceland,42.74,Negative,#F6BC65
Share of businesses making e-commerce sales that sell across borders,European Union (28 countries),43.75,Negative,#F6BC65
Share of businesses making e-commerce sales that sell across borders,Estonia,46.59,Positive,#fc8b9b
Share of businesses making e-commerce sales that sell across borders,Ireland,47.53,Positive,#fc8b9b
Share of businesses making e-commerce sales that sell across borders,Italy,48.15,Positive,#fc8b9b
Share of businesses making e-commerce sales that sell across borders,Slovak Republic,48.27,Positive,#fc8b9b
Share of businesses making e-commerce sales that sell across borders,Netherlands,50.17,Positive,#fc8b9b
Share of businesses making e-commerce sales that sell across borders,Latvia,51.12,Positive,#fc8b9b
Share of businesses making e-commerce sales that sell across borders,Germany,51.25,Positive,#fc8b9b
Share of businesses making e-commerce sales that sell across borders,Portugal,52.52,Positive,#fc8b9b
Share of businesses making e-commerce sales that sell across borders,Lithuania,52.76,Positive,#fc8b9b
Share of businesses making e-commerce sales that sell across borders,Belgium,52.86,Positive,#fc8b9b
Share of businesses making e-commerce sales that sell across borders,Slovenia,53.19,Positive,#fc8b9b
Share of businesses making e-commerce sales that sell across borders,Czech Republic,54.27,Positive,#fc8b9b
Share of businesses making e-commerce sales that sell across borders,Luxembourg,61.36,Positive,#fc8b9b
Share of businesses making e-commerce sales that sell across borders,Austria,62.49,Positive,#fc8b9b
