"","What.is.the.name.of.your.organization.","How.many.employees.does.your.business.employ.at.the.moment.","Which.sector.best.describes.your.principle.economic.activity.","Has.your.businesses.made.e.commerce.sales.that.sell.across.borders..the.last.year.","On.average..what.percentage.of.occupational.tasks.of.employees.are.ICT.intensive.","type"
"1","Opta Innova Digital Transformation",0,"Information and communication","Yes",100,"Micro"
"2","BSM Business Smart Management",2,"Administrative and support service activities","No",90,"Micro"
"3","s&r construction",0,"Construction","No",0,"Micro"
"4","Trilogy Store Aruba",2,"Wholesale and retail trade; repair of motor vehicles and motorcycles","No",50,"Micro"
"5","SQS Consultancy & Research",0,"Administrative and support service activities","No",0,"Micro"
"6","CLIFFIX MUSICAL INSTRUMENTS N.V.",5,"Arts, entertainment and recreation","No",0,"Micro"
"7","Mind's eye NV dba Zen Designs",8,"Manufacturing","No",25,"Micro"
"8","SmartUp Aruba",0,"Information and communication","No",100,"Micro"
"9","Trilogy Aruba",2,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Yes",100,"Micro"
"10","Sanchez swimwear",1,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Yes",7,"Micro"
"11","Bodacious boutique",1,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Yes",100,"Micro"
"12","Jansen Legal Advisory",1,"Professional, scientific and technical activities ","No",0,"Micro"
"13","Podera Activewear",0,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Yes",75,"Micro"
"14","Best Cleaning",21,"Other service activities & Activities of households as employers ","No",1,"Small"
"15","Ladies Choice",2,"Wholesale and retail trade; repair of motor vehicles and motorcycles","No",77,"Micro"
"16","Island Essentials & BabyQuip Aruba",0,"Accommodation and food service activities","Yes",49,"Micro"
"17","Fundacion",2,"Education","No",95,"Micro"
"18","CASTNV",5,"Professional, scientific and technical activities ","No",80,"Micro"
"19","Global Asset Trading & Advisory Services VBA",3,"Professional, scientific and technical activities ","No",100,"Micro"
"20","anonymous",3,"Wholesale and retail trade; repair of motor vehicles and motorcycles","No",0,"Micro"
"21","D&I Reshapers VBA",1,"Information and communication","No",85,"Micro"
"22","Prestige Vacations Aruba",16,"Real estate activities","Yes",80,"Small"
"23","Bucuti & Tara Beach Resort",130,"Accommodation and food service activities","Yes",100,"Medium"
"24","Monarch CPA LLC",4,"Administrative and support service activities","No",100,"Micro"
"25","Plus Accountants",30,"Administrative and support service activities","No",29,"Small"
