Straatnaam,AFKOR,GAC Code,Regio,Zone,POINT_X,POINT_Y
Acordeonstraat,ACO,36250,3,36,-70.01437212,12.51428078
Adolf van Nassaustraat,AVN,82180,8,82,-69.90751125,12.43688601
Adriaan Lacle Boulevard,ALB,32320,3,32,-70.03029385,12.51577409
Alablancastraat,ALA,38060,3,38,-70.00598409,12.49547695
Alfred de Mussetstraat,AMS,32260,3,32,-70.02807201,12.51628142
Aliviostraat,ALI,25020,2,25,-70.03876477,12.53242723
Aloestraat,ALO,27090,2,27,-70.03271618,12.53470973
Alto Vista,AV,13040,1,13,-70.01643516,12.56930012
Alvarezstraat,AL,11170,1,11,-70.03237244,12.56737158
Amalia van Solmsstraat,AVS,85100,8,85,-69.90120304,12.43568593
Amandelstraat,AM,35070,3,35,-70.018816,12.5116328
Amazonestraat,AMZ,85050,8,85,-69.89972257,12.43572733
Amistad,AMI,42016,4,42,-70.00141675,12.54179264
Amsterdamstraat,AMT,72280,7,72,-69.9205585,12.4450678
Anabui,AN,16030,1,16,-70.03890976,12.60308744
Anasastraat,ANA,35050,3,35,-70.02052277,12.51248485
Andicuri,AND,57010,5,57,-69.95579317,12.53577683
Anglostraat,AGL,82080,8,82,-69.90947523,12.43946489
Angochi,ANG,53080,5,53,-69.96567066,12.51805727
Antiguaweg,ANT,35370,3,35,-70.02248497,12.51772252
Apachestraat,APH,72080,7,72,-69.91521004,12.4478626
Apelsinastraat,APS,36160,3,36,-70.0157191,12.51621756
Apollostraat,AP,25100,2,25,-70.03922333,12.52900063
Archimedesstraat,ARC,28070,2,28,-70.03300247,12.52504359
Arendstraat,ARE,26230,2,26,-70.04119135,12.52434447
Argentiniestraat,AR,26100,2,26,-70.03597262,12.52537214
Arnhemstraat,ARH,72300,7,72,-69.91929241,12.44424642
Arnold M. Schuttestraat,ARN,22230,2,22,-70.03742353,12.51870872
Arowakkenstraat,ARO,72220,7,72,-69.91642973,12.4450867
Aureolastraat,AU,25030,2,25,-70.03875422,12.53195574
Avenida Alo Tromp,AAT,26280,2,26,-70.0384041,12.52199806
Avenida Milio Croes (Fergusonstraat),FER,35010,3,35,-70.02237195,12.5132627
Avicennastraat,AVI,33230,3,33,-70.02873821,12.52031289
Awacatistraat,AW,35190,3,35,-70.02409415,12.51645307
Ayo,AY,43020,4,43,-69.97557301,12.53478882
Aztekenstraat,AZT,72250,7,72,-69.91538449,12.44525594
Babijn,BAB,43100,4,43,-69.99575858,12.54168761
Bachstraat,BAC,32410,3,32,-70.03162365,12.51542579
Bacobastraat,BA,35200,3,35,-70.02302944,12.51612191
Bakval,BAK,11070,1,11,-70.03905931,12.58310244
Balanderstraat,BAL,24050,2,24,-70.04298093,12.52664907
Balashi,BAH,56020,5,56,-69.97246544,12.48888922
Balashi W.e.b.,BAW,56010,5,56,-69.97708355,12.47383971
Balsamostraat,BAS,27100,2,27,-70.03273781,12.53407382
Baranca,BCA,43115,4,43,-69.98896793,12.53322594
Barba di Yoncumanstraat,BAJ,28310,2,28,-70.03069471,12.53164294
Barbadosweg,BAD,35360,3,35,-70.02234436,12.51823132
Barcadera,BRC,56060,5,56,-69.98315858,12.48515387
Barcelona,BAR,37010,3,37,-70.01609144,12.51398237
Bargestraat,BRG,83030,8,83,-69.91009395,12.43567373
Bario Dr. Dussenbroek,BDD,34020,3,34,-70.02092777,12.52687349
Bazinsstraat,BAZ,32200,3,32,-70.02542311,12.51531291
Beatrixstraat,BEA,32060,3,32,-70.03023988,12.51241502
Beaujonstraat,BEU,32210,3,32,-70.02496201,12.51447299
Beethovenstraat,BEE,32400,3,32,-70.03122354,12.51587592
Belgiestraat,BEL,22100,2,22,-70.04635579,12.52789915
Bell Hillweg,BHI,75120,7,75,-69.90038645,12.44080121
Bellstraat,BET,22130,2,22,-70.04301265,12.52539058
Berea di Piscado,BDP,11021,1,11,-70.04428844,12.57768737
Bereheinstraat,BER,36150,3,36,-70.01646335,12.51522712
Bermudezstraat,BE,11220,1,11,-70.03398798,12.57221273
Bernadetastraat,BES,25080,2,25,-70.03900232,12.53061061
Bernhardstraat,BEN,81010,8,81,-69.91745303,12.43923424
Bernhardstraat,BEN,85170,8,85,-69.90372721,12.43571662
Betonicastraat,BS,61140,6,61,-69.97175242,12.46769956
Beyisimastraat,BLL,82090,8,82,-69.90845486,12.43951724
Bilderdijkstraat,BI,32300,3,32,-70.02887646,12.51422889
Bislickstraat,BIS,73040,7,73,-69.91000625,12.44432093
BlauweSteeg,BL,26260,2,26,-70.03640042,12.52218328
Blenchistraat,BLE,38117,3,38,-70.00806004,12.49303184
Blumond,BLO,42050,4,42,-69.99714524,12.53804885
